Project_ID,Title,Description
53342,Développement d'un Agent IA Intelligent avec RAG Enrichi : De la Vectorisation à l'Intelligence Contextuelle,"Project ID 53342
Développement d'un Agent IA Intelligent avec RAG Enrichi : De la Vectorisation à l'Intelligence Contextuelle
Aujourd’hui, les IA génératives transforment les industries, mais elles ont besoin du RAG (Retrieval-Augmented Generation) pour être fiables et contextuelles. L'étudiant créera un agent IA qui « pense » comme un expert dans son domaine choisi, en récupérant des informations pertinentes dans une base de connaissances personnalisée. Ainsi, ce projet vise à : - comprendre les Generative AI (comme GPT ou Llama) et leurs limites (hallucinations, manque de contexte). - Maîtriser la construction d'un agent IA autonome via LangChain. - Apprendre la vectorisation d'embeddings, l'enrichissement RAG et l'ingénierie de prompts. - Appliquer ces concepts à un cas d'usage réel choisi par l’étudiant/les étudiants (ex. : assistant médical, chatbot e-commerce, analyseur de code, etc.) - Il est possible qu’à la fin on utilise un système multi-agents en se basant sur des frameworks tels que LangGraph ou LangCrew.
Faculty supervisor:  RamiLangar
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montréal, Québec
Language: French
Preferred start date: 2027-06-01 (yyyy-mm-dd)
View Detail
Apply"
53436,Agent IA Génératif pour une Sélection Adaptative de Modulation dans les Réseaux Hybrides Terrestres et Non-Terrestres,"Project ID 53436
Agent IA Génératif pour une Sélection Adaptative de Modulation dans les Réseaux Hybrides Terrestres et Non-Terrestres
Ce projet vise à développer un agent IA génératif capable d'analyser en temps réel la géométrie satellite-LEO (position latitude/longitude/altitude, angle d'élévation, vitesse relative, conditions de propagation) pour sélectionner automatiquement la modulation optimale (LR-FHSS DR8/DR9 vs LoRa SF7-SF12) minimisant le Packet Error Rate (PER) via analyse prédictive dans un réseau NTN (non terrestrial Network), LoRa-Satellite.
Faculty supervisor:  RamiLangar
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montréal, Québec
Language: French
Preferred start date: 2027-06-01 (yyyy-mm-dd)
View Detail
Apply"
53437,Optimisation de la gestion de mobilité dans un réseau 5G/6G en utilisant des algorithmes de Machine Learning,"Project ID 53437
Optimisation de la gestion de mobilité dans un réseau 5G/6G en utilisant des algorithmes de Machine Learning
Les réseaux radio mobiles de nouvelle génération (5G/B5G/6G) sont confrontés à de nouveaux défis, notamment le traitement d'un volume de données considérable et des exigences élevées en matière de qualité de service et d'expérience utilisateur. Les réseaux SDN (Software Defined Network) et les techniques de virtualisation offrent une centralisation du traitement et une grande capacité de scalabilité, ce qui rend la gestion des données plus efficace et économique pour les opérateurs de réseaux IT. Ayant démontré leur efficacité dans le réseau coeur, la technologie SDN et les techniques de virtualisation sont également introduites dans le réseau d'accès radio (RAN) de la 6G. Cela permettrait d'améliorer les KPI (Key Performance Indicator) des réseaux des opérateurs tout en réduisant les indicateurs CAPEX et OPEX. Ce projet vise à implémenter un contrôleur SDN dans un réseau d'accès virtualisé (V-RAN) sur la plateforme OAI (OpenAir Interface) pour optimiser la gestion de la mobilité dans le réseau, en particulier les procédures de sélection de cellules et de Handover. En outre, le projet utilisera les données réelles d'un opérateur de télécommunications afin d'appliquer un algorithme de Machine Learning (ML) pour prédire de manière optimisée la gestion de la mobilité dans le réseau.
Faculty supervisor:  RamiLangar
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montréal, Québec
Language: French
Preferred start date: 2027-06-01 (yyyy-mm-dd)
View Detail
Apply"
53533,3D Computer Graphics for Modeling and Generating 2D/3D Content with Applications in Visual Effects and Video Games,"Project ID 53533
3D Computer Graphics for Modeling and Generating 2D/3D Content with Applications in Visual Effects and Video Games
Research in 3D computer graphics, 3D objects acquisition and creation, as well as numerical geometry is ongoing in the Multimedia Lab at ÉTS. The topic of 3D modeling from images remains difficult. The project will investigate the use of generative methods, such as transformer-based diffusion models, to help in modeling 2D and 3D content such as textures and 3D objects. The project might also include the topic of 3D Gaussian splatting together with diffusion models toward modeling from images. The intern is expected to work on state-of-the-art approaches that generate and process 2D and 3D content. The intern will likely read state-of-the-art scientific papers and implement some of the algorithms found in these papers, with the help of the project team members. Equity, diversity, and inclusion (EDI) are values cherished by the research team. EDI is considered at every stage of the research process, including recruitment, and accommodations can be set in place to improve EDI. The intern will work in the Multimedia Lab of the École de technologie supérieure (ÉTS), Montreal, Canada. The intern could have access to a desk and a workstation with the required software for the internship. ÉTS is located in the heart of Montreal. It is easily accessible by public transportation and is walking distance to downtown Montreal.
Faculty supervisor:  EricPaquette
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montreal, Québec
Language: Either English or French
Preferred start date: 2027-05-31 (yyyy-mm-dd)
View Detail
Apply"
53737,Agentic AI-Human Collaboration in Software Development,"Project ID 53737
Agentic AI-Human Collaboration in Software Development
Agentic AI systems are rapidly transforming software development by autonomously performing tasks traditionally carried out by human developers. Modern AI agents can generate code, review pull requests, fix bugs, write tests, and assist with deployment activities. Despite these capabilities, important challenges remain regarding the interaction between human developers and AI agents. Developers must decide when to trust agent-generated outputs, how to supervise autonomous actions, and how to effectively collaborate with multiple AI agents during software development activities. This project aims to study and improve human-agent collaboration in software engineering. The student will investigate how developers interact with AI agents during coding, code review, debugging, and software maintenance tasks. Using empirical software engineering methods, the project will analyze developer-agent interactions, identify common collaboration challenges, and evaluate factors affecting productivity, trust, cognitive workload, and software quality. The project will involve collecting and analyzing data from software repositories, developer studies, and controlled experiments involving AI-assisted development tools. The student will also contribute to the design and evaluation of novel approaches that enhance transparency, explainability, and reliability of agentic AI systems. The outcomes of this project will provide valuable insights into the future of software development and contribute to the design of trustworthy and effective human-AI collaboration environments.
Faculty supervisor:  AliOuni
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montréal, Québec
Language: Either English or French
Preferred start date: 2027-05-03 (yyyy-mm-dd)
View Detail
Apply"
53846,Innovative interfaces for vibration authoring,"Project ID 53846
Innovative interfaces for vibration authoring
Vibrotactile devices are increasingly capable of producing rich and complex vibration patterns. The Apple Watch, for example, can produce a variety of vibrotactile icons that indicate different events, such as alarms and notifications. Designers currently have few tools to create such vibrotactile effects. In this project, we will experiment with novel interfaces to create complex vibrotactile effects. We will experiment with different input technologies to control various parameters of a vibrotactile pattern, much like a musical instrument controls sounds. This could for example include using our voice (microphone), the movement of our body (kinect, leap motion, or other motion tracking), or our interactions with an object or instrument.
Faculty supervisor:  VincentLévesque
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montreal, Québec
Language: Either English or French
Preferred start date: 2027-05-02 (yyyy-mm-dd)
View Detail
Apply"
53847,Visualizing haptic and tactile feedback,"Project ID 53847
Visualizing haptic and tactile feedback
Explaining the nature and meaning of haptic feedback using audio-visual media is often necessary but notoriously difficult. An online manual, for example, may need to explain the vibration patterns associated with different notifications on a smartwatch (e.g., “turn left” and “turn right” signals). Similarly, a television commercial may need to advertise the advanced vibration features of a new smartphone. As haptics researchers, we also face this challenge when trying to communicate haptic features in scientific publications such as conference papers and accompanying videos. Efficiently communicating haptic feedback in an audio-visual representation is a serious challenge that hasn’t been studied systematically to date. This project will explore how haptic feedback can be efficiently communicated in an audio-visual form. We will first survey how this challenge has been met in the past by looking at scientific papers, online tutorials, user manuals, advertisements and other audio-visual documents in which haptic features are communicated. We will then develop and experimentally evaluate different solutions to represent haptic features in audio-visual form. We will consider different types of haptic feedback, such as vibrations, forces, mid-air haptics (e.g., ultrahaptics.com), or surface haptics (e.g., tanvas.com). We will also consider different application domains, such as online tutorials and manuals, user interfaces (e.g., authoring tools for haptic feedback), advertising, or scientific publications. We will finally consider different means of display, such as a computer monitor, a mobile device, or an augmented reality display. The solutions that we envision will be prototyped and evaluated quantitatively and qualitatively with the intended users. This is an exciting new research direction for my research group. I’m hoping that this first foray into this topic will lead to a scientific publication and serve as the basis for a larger research program.
Faculty supervisor:  VincentLévesque
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montreal, Québec
Language: Either English or French
Preferred start date: 2027-05-02 (yyyy-mm-dd)
View Detail
Apply"
53850,Routing of vibration feedback in 3D printed objects,"Project ID 53850
Routing of vibration feedback in 3D printed objects
Vibrotactile feedback is often used in human-computer interaction to communicate information using the vibrations of an object, such as the vibration of a smartphone when a message is received. In most cases, the entire object vibrates against the hand. In this project, we will experiment with the design of 3D printed structures that can accentuate or dampen vibrations in order to make vibrations felt only at specific locations on a 3D printed object. A smartphone-shaped object, for example, could be printed in such a way that the vibrations coming from a vibrotactile actuator are only felt at the location of virtual buttons on the side of the smartphone. The main goal of the project will be to identify 3d-printable structures (also known as metamaterials) that can control the transmission of vibrations in an object. Time-permitting, the project may also explore practical applications of the concept as well as the design of software tools to facilitate printing such objects.
Faculty supervisor:  VincentLévesque
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montreal, Québec
Language: Either English or French
Preferred start date: 2027-05-02 (yyyy-mm-dd)
View Detail
Apply"
53852,Exploration of artistic applications of haptics,"Project ID 53852
Exploration of artistic applications of haptics
This project is part of an ongoing collaboration between me and a multidisciplinary artist that aims to explore artistic applications of haptic feedback. The project is an occasion for me to learn about how artists view haptics and what is needed for them to integrate it into their practice, and for an artist to learn about bleeding-edge haptic technologies and the science of haptic perception. Your role within this project will be to support this exploration , for example by creating haptic experiences, artworks, editing tools, haptic device prototypes, or making any other contribution to the project based on your own skills and interests.
Faculty supervisor:  VincentLévesque
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montreal, Québec
Language: Either English or French
Preferred start date: 2027-05-02 (yyyy-mm-dd)
View Detail
Apply"
54038,Creating an Online and Collaborative Database for Representing the Quebec Healthcare Innovation Ecosystem,"Project ID 54038
Creating an Online and Collaborative Database for Representing the Quebec Healthcare Innovation Ecosystem
The importance of innovation in the healthcare sector is widely recognized, in particular with regard to the challenges faced by the Quebec population and the complex needs of our healthcare system. Mechanisms are already in place in the Quebec ecosystem to stimulate and facilitate the process of creating, developing and adopting innovative solutions. In this context, this project focuses on maps, visual representations that, in our case, use graphs, diagrams or charts to present complex, multi-dimensional data. The advantage of maps is that they can be used to link known information to less visible mechanisms, or to highlight previously undiscovered knowledge. This Mitacs project forms part of a larger research initiative involving several master's and doctoral students. More specifically, the aim of this Mitacs internship project is to create the shell of the map. This shell may take the form of a graph-oriented database and will collect various types of information. This includes the type of stakeholder (e.g. start-up, spin-off, scale-up, university, college/cégep, incubator, accelerator, research centre, institute), the type of innovation (e.g. technological, social), places that have already tested the innovation (e.g. CIUSSS/CISSS, CHSLD, private residence), processes/protocols in place, public funding received and associated metrics. This project aims to create a demonstrator and is essentially programming-intensive. For reference, the project would typically be 70% back-end and 30% front-end, but this could shift towards a 50/50 split depending on the student's profile. Meetings with project partners and the ecosystem could be arranged to refine the backlog and validate the work completed in each sprint. The pre-project documentation is being finalised at the time of submitting this internship, and it may be possible to discuss it at an interview.
Faculty supervisor:  JuliaGuérineau
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montréal, Québec
Language: Either English or French
Preferred start date: 2027-05-31 (yyyy-mm-dd)
View Detail
Apply"
